text,label
"The Earth is flat and NASA has been hiding the truth from us for decades.",Fake
"Eating raw garlic every morning will cure all forms of cancer in 2 weeks.",Fake
"Scientists have discovered a new species of frog in the Amazon rainforest.",Real
"The stock market saw a slight increase today following the Federal Reserve's announcement.",Real
"World leaders secretly are lizard people who control the global economy.",Fake
"A new study published in Nature shows that climate change is accelerating.",Real
"Drink bleach to cure the virus, says a local man who claims he discovered a miracle cure.",Fake
"The local city council voted to approve the new budget for public schools.",Real
"Aliens landed in Roswell and the government has been keeping their technology in Area 51.",Fake
"Apple announced their new iPhone model with an upgraded camera and longer battery life.",Real
"Vaccines contain microchips that allow the government to track your every move.",Fake
"The unemployment rate dropped by 0.2% in the last quarter, according to the Bureau of Labor Statistics.",Real
"Drinking 5 liters of water a day will wash away all toxins and prevent any disease instantly.",Fake
"The President signed a new bill into law today regarding infrastructure improvements.",Real
"Historical records prove that the moon landing was filmed in a Hollywood studio.",Fake
"A heavy snowstorm is expected to hit the East Coast this weekend, causing travel delays.",Real
"5G cell towers are responsible for spreading the latest pandemic virus.",Fake
"NASA successfully launched its new rover to Mars this morning.",Real
"A local woman claims she saw Bigfoot walking her dog in the park.",Fake
"The World Health Organization released new guidelines for a healthy diet.",Real
"Posts online claim that electronic voting machines automatically change votes after midnight to favor certain political parties.",Fake
"Voting machines secretly change votes after midnight to manipulate the election results.",Fake
"A new law passed requiring all citizens to implant microchips for tracking.",Fake
